episodio,recompensa,epsilon,tubos_pasados
8414,-6.30,0.6566,0
8415,-5.10,0.6565,0
8416,-2.70,0.6565,0
8417,-0.30,0.6565,0
8418,-4.50,0.6564,0
8419,-1.50,0.6564,0
8420,-5.70,0.6564,0
8421,-8.10,0.6564,0
8422,-2.10,0.6563,0
8423,-5.10,0.6563,0
8424,2.10,0.6563,2
8425,-6.30,0.6562,0
8426,-6.30,0.6562,0
8427,-6.30,0.6562,0
8428,-3.30,0.6561,0
8429,-6.30,0.6561,0
8430,-6.30,0.6561,0
8431,-5.70,0.6560,0
8432,-0.90,0.6560,0
8433,-6.90,0.6560,0
8434,-7.50,0.6559,0
8435,-6.30,0.6559,0
8436,-7.50,0.6559,0
8437,-3.90,0.6558,0
8438,-3.30,0.6558,0
8439,-6.30,0.6558,0
8440,-5.10,0.6557,0
8441,-4.50,0.6557,0
8442,-6.30,0.6557,0
8443,-5.70,0.6556,0
8444,-5.70,0.6556,0
8445,-7.50,0.6556,0
8446,-5.70,0.6555,0
8447,-6.30,0.6555,0
8448,-0.30,0.6555,0
8449,3.90,0.6554,3
8450,-4.50,0.6554,0
8451,2.70,0.6554,2
8452,-5.10,0.6553,0
8453,-5.70,0.6553,0
8454,-4.50,0.6553,0
8455,-7.50,0.6552,0
8456,-6.30,0.6552,0
8457,-5.10,0.6552,0
8458,-3.90,0.6551,0
8459,-6.30,0.6551,0
8460,-8.10,0.6551,0
8461,-6.30,0.6550,0
8462,-1.50,0.6550,0
8463,-8.10,0.6550,0
8464,-5.70,0.6549,0
8465,-4.50,0.6549,0
8466,-5.10,0.6549,0
8467,-6.30,0.6548,0
8468,-5.10,0.6548,0
8469,-6.30,0.6548,0
8470,-6.30,0.6547,0
8471,-5.70,0.6547,0
8472,-6.90,0.6547,0
8473,-6.90,0.6546,0
8474,-2.10,0.6546,0
8475,-3.30,0.6546,0
8476,-7.50,0.6545,0
8477,-6.30,0.6545,0
8478,-5.10,0.6545,0
8479,-5.10,0.6544,0
8480,-6.30,0.6544,0
8481,-1.50,0.6544,0
8482,-6.30,0.6544,0
8483,-7.50,0.6543,0
8484,-5.10,0.6543,0
8485,-3.90,0.6543,0
8486,-5.70,0.6542,0
8487,-6.90,0.6542,0
8488,-6.90,0.6542,0
8489,-2.10,0.6541,0
8490,-5.10,0.6541,0
8491,-3.90,0.6541,0
8492,-5.10,0.6540,0
8493,-1.50,0.6540,0
8494,-6.90,0.6540,0
8495,-4.50,0.6539,0
8496,-0.30,0.6539,0
